"EQN_NO","LIFEFORM","SPP_CODE","SPP_TEXT","BIO_COMP","GEO_AREA","SER_STAG","LCL_EQUN","TAX_LIFE","PA1_CODE","PA1_TEXT","PA1_MIN","PA1_MAX","PA1_UNIT","PA2_CODE","PA2_TEXT","PA2_MIN","PA2_MAX","PA2_UNIT","PA3_CODE","PA3_TEXT","PA3_MIN","PA3_MAX","PA3_UNIT","DEP_VAR","DPV_MIN","DPV_MAX","DPV_UNIT","CF1","CF2","CF3","CF4","BPK_EQFM","EQN_TYPE","DPV_O","DPV_OMIN","DPV_OMAX","DPV_OUNIT","IP1_TEXT","IP1_MIN","IP1_MAX","IP1_UNIT","IP2_TEXT","IP2_MIN","IP2_MAX","IP2_UNIT","IP3_TEXT","IP3_MIN","IP3_MAX","IP3_UNIT","ORG_EQFM","SMP_SIZE","R_SQUARE","MS_ERROR","SEE","LOG_BIOC","RAW_DATA","SRC_EQN","SRC_DAT","MARK"
1010,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","Y","02","T","DBA","Diameter at base  (at the ground level)","0.1","3.25","cm","HT","Height","5.0","215.0","cm",NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.2","481.6","g","-3.631807","1.424054","0.882204",NA,"ln(BAT) =-3.631807 + 1.424054 * ln(DBA) + 0.882204 * ln(HT)",17,"Biomass, aboveground, total","0.2","481.6","g","Diameter at base (at ground level)","0.1","3.25","cm","Height","5.0","215.0","cm",NA,NA,NA,NA,"ln(BAT) = -3.631807 + 1.424054 * ln(DBA) + 0.880204 * ln(HT)","50","0.928","0.1777","0.42159","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8064",FALSE
1011,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","Y","03","T","DBA","Diameter at base  (at the ground level)","0.1","3.25","cm","NUM","Number of basal stems","1.0","5.0",NA,NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.2","481.6","g","-1.955615","2.158776","0.305806",NA,"ln(BAT) =-1.955615 + 2.158776 * ln(DBA) + 0.305806 * ln(NUM)",17,"Biomass, aboveground, total","0.2","481.6","g","Diameter at base (at ground level)","0.1","3.25","cm","Number of basal stems","1.0","5.0",NA,NA,NA,NA,NA,"ln(BAT) = -1.955615 + 2.158776 * ln(DBA) + 0.305806 * ln(NUM)","50","0.869","0.3201","0.5658","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8073",FALSE
1012,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","Y","04","T","LEN","Length of projected crown","7.0","41.0","cm","HT","Height","5.0","215.0","cm",NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.2","481.6","g","-6.124884","1.657191","0.621376",NA,"ln(BAT) =-6.124884 + 1.657191 * ln(LEN) + 0.621376 * ln(HT)",17,"Biomass, aboveground, total","0.2","481.6","g","Length of projected crown","7.0","41.0","cm","Height","5.0","215.0","cm",NA,NA,NA,NA,"ln(BAT) = -6.124884 + 1.657191 * ln(LEN) + 0.621376 * ln(HT)","50","0.917","0.2033","0.45092","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8082",FALSE
1013,"K","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","01","T","DBA","Diameter at base  (at the ground level)","0.1","1.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.1","546.1","g","-1.306116","2.357943",NA,NA,"ln(BAT) =-1.306116 + 2.357943 * ln(DBA)",2,"Biomass, aboveground, total","0.1","546.1","g","Diameter at base (at ground level)","0.1","1.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BAT) = -1.306116 + 2.357943 * ln(DBA)","50","0.726","1.1646","1.07917","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8091",FALSE
1014,"K","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","02","T","DBA","Diameter at base  (at the ground level)","0.1","1.7","cm","HT","Height","1.0","109.0","cm",NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.1","546.1","g","-3.721725","0.550739","1.581381",NA,"ln(BAT) =-3.721725 + 0.550739 * ln(DBA) + 1.581381 * ln(HT)",17,"Biomass, aboveground, total","0.1","546.1","g","Diameter at base (at ground level)","0.1","1.7","cm","Height","1.0","109.0","cm",NA,NA,NA,NA,"ln(BAT) = -3.721725 + 0.550739 * ln(DBA) + 1.581381 * ln(HT)","50","0.809","0.8278","0.90985","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8100",FALSE
1015,"K","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","03","T","DBA","Diameter at base  (at the ground level)","0.1","1.7","cm","NUM","Number of basal stems","1.0","27.0",NA,NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.1","546.1","g","-1.256220","1.530738","1.005772",NA,"ln(BAT) =-1.256220 + 1.530738 * ln(DBA) + 1.005772 * ln(NUM)",17,"Biomass, aboveground, total","0.1","546.1","g","Diameter at base (at ground level)","0.1","1.7","cm","Number of basal stems","1.0","27.0",NA,NA,NA,NA,NA,"ln(BAT) = -1.256220 + 1.530738 * ln(DBA) + 1.005772 * ln(NUM)","50","0.818","0.7892","0.88839","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8109",FALSE
1016,"K","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","04","T","LEN","Length of projected crown","4.0","155.0","cm","WID","Width of projected crown (perpendicular to LEN)","2.0","149.0","cm","HT","Height","1.0","109.0","cm","Biomass, aboveground, total","0.1","546.1","g","-5.471583","1.039896","0.945742","0.295699","ln(BAT) =-5.471583 + 1.039896 * ln(LEN) + 0.945742 * ln(WID) + 0.295699 * ln(HT)",44,"Biomass, aboveground, total","0.1","546.1","g","Length of projected crown","4.0","155.0","cm","Width of projected crown (perpendicular to LEN)","2.0","149.0","cm","Height","1.0","109.0","cm","ln(BAT) = -5.471583 + 1.039896 * ln(LEN) + 0.945742 * ln(WID) + 0.295699 * ln(HT)","50","0.874","0.5613","0.74917","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8118",FALSE
1017,"K","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","05","T","NUM","Number of basal stems","1.0","27.0",NA,"HT","Height","1.0","109.0","cm",NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.1","546.1","g","-3.385137","0.872259","1.414933",NA,"ln(BAT) =-3.385137 + 0.872259 * ln(NUM) + 1.414933 * ln(HT)",17,"Biomass, aboveground, total","0.1","546.1","g","Number of basal stems","1.0","27.0",NA,"Height","1.0","109.0","cm",NA,NA,NA,NA,"ln(BAT) = -3.385137 + 0.872259 * ln(NUM) + 1.414933 * ln(HT)","50","0.873","0.5504","0.74186","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8127",FALSE
1018,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","01","T","DBA","Diameter at base  (at the ground level)","0.1","6.35","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.3","1640.","g","-1.545169","2.195558",NA,NA,"ln(BAT) =-1.545169 + 2.195558 * ln(DBA)",2,"Biomass, aboveground, total","0.3","1640.","g","Diameter at base (at ground level)","0.1","6.35","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BAT) = -1.545169 + 2.195558 * ln(DBA)","50","0.819","1.0055","1.00276","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8136",FALSE
1019,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","02","T","DBA","Diameter at base  (at the ground level)","0.1","6.35","cm","HT","Height","4.0","202.0","cm",NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.3","1640.","g","-4.497867","0.722582","1.722640",NA,"ln(BAT) =-4.497867 + 0.722582 * ln(DBA) + 1.722640 * ln(HT)",17,"Biomass, aboveground, total","0.3","1640.","g","Diameter at base (at ground level)","0.1","6.35","cm","Height","4.0","202.0","cm",NA,NA,NA,NA,"ln(BAT) = -4.497867 + 0.722582 * ln(DBA) + 1.722640 * ln(HT)","50","0.943","0.3233","0.5686","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8146",FALSE
1020,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","03","T","DBA","Diameter at base  (at the ground level)","0.1","6.35","cm","NUM","Number of basal stems","1.","9.",NA,NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.3","1640.","g","-1.525759","2.072030","0.728254",NA,"ln(BAT) =-1.525759 + 2.072030 * ln(DBA) + 0.728254 * ln(NUM)",17,"Biomass, aboveground, total","0.3","1640.","g","Diameter at base (at ground level)","0.1","6.35","cm","Number of basal stems","1.","9.",NA,NA,NA,NA,NA,"ln(BAT) = -1.525759 + 2.072030 * ln(DBA) + 0.728254 * ln(NUM)","50","0.848","0.8619","0.9284","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8156",FALSE
1021,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","04","T","HT","Height","4.0","202.0","cm","NUM","Number of basal stems","1.","9.",NA,NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.3","1640.","g","-5.062159","2.301196","0.229355",NA,"ln(BAT) =-5.062159 + 2.301196 * ln(HT) + 0.229355 * ln(NUM)",17,"Biomass, aboveground, total","0.3","1640.","g","Height","4.0","202.0","cm","Number of basal stems","1.","9.",NA,NA,NA,NA,NA,"ln(BAT) = -5.062159 + 2.301195 * ln(HT) + 0.229355 * ln(NUM)","50","0.923","0.43499","0.65954","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8166",FALSE
1022,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","05","T","HT","Height","4.0","202.0","cm","LEN","Length of projected crown","3.","198.","cm","WID","Width of projected crown (perpendicular to LEN)","3.","172.","CM","Biomass, aboveground, total","0.3","1640.","g","-5.293120","1.010331","0.533637","0.811562","ln(BAT) =-5.293120 + 1.010331 * ln(HT) + 0.533637 * ln(LEN) + 0.811562 * ln(WID)",44,"Biomass, aboveground, total","0.3","1640.","g","Height","4.0","202.0","cm","Length of projected crown","3.","198.","cm","Width of projected crown (perpendicular to LEN)","3.","172.","cm","ln(BAT) = -5.293120 + 1.010331 * ln(HT) + 0.533637 * ln(LEN) + 0.811562 * ln(WID)","50","0.958","0.24155","0.49184","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8176",FALSE
1023,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","Y","05","T","HT","Height","5.0","215.0","cm","NUM","Number of basal stems","1.0","5.0",NA,NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.2","481.6","g","-4.850549","1.910434","-0.086682",NA,"ln(BAT) =-4.850549 + 1.910434 * ln(HT) - 0.086682 * ln(NUM)",17,"Biomass, aboveground, total","0.2","481.6","g","Height","5.0","215.0","cm","Number of basal stems","1.0","5.0",NA,NA,NA,NA,NA,"ln(BAT) = -4.850549 + 1.910434 * ln(HT) - 0.086682 * ln(NUM)","50","0.793","0.5086","0.71319","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8186",FALSE
1024,"K","QUKE","Quercus kelloggii (california black oak)","BAT","S","Y","06","T","LEN","Length of projected crown","5.0","57.0","cm","WID","Width of projected crown(perpendicular to LEN)","2.00","39.0","cm","DBA","Basal diameter (at ground level)","0.075","0.55","cm","Biomass, aboveground, total","0.04","16.0","g","-5.353578","1.353206","0.351048","0.764546","ln(BAT) =-5.353578 + 1.353206 * ln(LEN) + 0.351048 * ln(WID) + 0.764546 * ln(DBA)",44,"Biomass, aboveground, total","0.04","16.0","g","Lendth of projected crown","5.0","57.0","cm","Width of projected crown (perpendicular to LEN)","2.00","39.0","cm","Basal diameter (at ground level)","0.075","0.55","cm","ln(BAT) = -5.353578 + 1.353206 * ln(LEN) + 0.351048 * ln(WID) + 0.764546 * ln(DBA)","49","0.908","0.1747","0.41798","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8195",FALSE
1025,"K","QUKE","Quercus kelloggii (california black oak)","BAT","S","Y","07","T","LEN","Length of projected crown","5.0","57.0","cm","WID","Width of projected crown(perpendicular to LEN)","2.00","39.0","cm",NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.04","16.0","g","-6.194012","1.515418","0.738129",NA,"ln(BAT) =-6.194012 + 1.515418 * ln(LEN) + 0.738129 * ln(WID)",17,"Biomass, aboveground, total","0.04","16.0","g","Lendth of projected crown","5.0","57.0","cm","Width of projected crown (perpendicular to LEN)","2.00","39.0","cm",NA,NA,NA,NA,"ln(BAT) = -6.194012 + 1.515418 * ln(LEN) + 0.738129 * ln(WID)","49","0.866","0.24785","0.49785","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8205",FALSE
1026,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","Y","06","T","LEN","Length of projected crown","7.0","41.0","cm","WID","Width of projected crown (perpendicular to LEN)","4.0","104.0","cm","DBA","Basal diameter (at ground level)","0.1","3.25","cm","Biomass, aboveground, total","0.2","481.6","g","-4.739487","1.190718","0.201020","1.068519","ln(BAT) =-4.739487 + 1.190718 * ln(LEN) + 0.201020 * ln(WID) + 1.068519 * ln(DBA)",44,"Biomass, aboveground, total","0.2","481.6","g","Length of projected crown","7.0","41.0","cm","Width of projected crown (perpendicular to LEN)","4.0","104.0","cm","Basal diameter (at ground level)","0.1","3.25","cm","ln(BAT) = -4.739487 + 1.190718 * ln(LEN) + 0.201020 * ln(WID) + 1.068519 * ln(DBA)","50","0.954","0.1151","0.33929","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8215",FALSE
1027,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","Y","07","T","LEN","Length of projected crown","7.0","41.0","cm","WID","Width of projected crown (perpendicular to LEN)","4.0","104.0","cm",NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.2","481.6","g","-6.168625","2.100287","0.204962",NA,"ln(BAT) =-6.168625 + 2.100287 * ln(LEN) + 0.204962 * ln(WID)",17,"Biomass, aboveground, total","0.2","481.6","g","Length of projected crown","7.0","41.0","cm","Width of projected crown (perpendicular to LEN)","4.0","104.0","cm",NA,NA,NA,NA,"ln(BAT) = -6.168625 + 2.100287 * ln(LEN) + 0.204962 * ln(WID)","50","0.897","0.2528","0.50280","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8224",FALSE
1028,"K","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","06","T","LEN","Length of projected crown","4.0","155.0","cm","WID","Width of projected crown (perpendicular to LEN)","2.0","149.0","cm","DBA","Basal diameter (at ground level)","0.1","1.7","cm","Biomass, aboveground, total","0.1","546.1","g","-5.470271","1.198755","1.024039","0.092983","ln(BAT) =-5.470271 + 1.198755 * ln(LEN) + 1.024039 * ln(WID) + 0.092983 * ln(DBA)",44,"Biomass, aboveground, total","0.1","546.1","g","Length of projected crown","4.0","155.0","cm","Width of projected crown (perpendicular to LEN)","2.0","149.0","cm","Basal diameter (at ground level)","0.1","1.7","cm","ln(BAT) = -5.470271 + 1.198755 * ln(LEN) + 1.024039 * ln(WID) + 0.092983 * ln(DBA)","50","0.872","0.5688","0.75421","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8233",FALSE
1029,"K","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","07","T","LEN","Length of projected crown","4.0","155.0","cm","WID","Width of projected crown (perpendicular to LEN)","2.0","149.0","cm",NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.1","546.1","g","-5.585352","1.243124","1.054840",NA,"ln(BAT) =-5.585352 + 1.243124 * ln(LEN) + 1.054840 * ln(WID)",17,"Biomass, aboveground, total","0.1","546.1","g","Length of projected crown","4.0","155.0","cm","Width of projected crown (perpendicular to LEN)","2.0","149.0","cm",NA,NA,NA,NA,"ln(BAT) = -5.585352 + 1.243124 * ln(LEN) + 1.054840 * ln(WID)","50","0.872","0.5576","0.74673","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8242",FALSE
1030,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","06","T","DBA","Basal diameter (at ground level)","0.1","6.35","cm","LEN","Length of projected crown","3.","198.","cm","WID","Width of projected crown (perpendicular to LEN)","3.","172.","cm","Biomass, aboveground, total","0.3","1640.","g","-4.506747","0.595798","0.794134","1.009666","ln(BAT) =-4.506747 + 0.595798 * ln(DBA) + 0.794134 * ln(LEN) + 1.009666 * ln(WID)",44,"Biomass, aboveground, total","0.3","1640.","g","Basal diameter (at ground level)","0.1","6.35","cm","Length of projected crown","3.","198.","cm","Width of projected crown (perpendicular to LEN)","3.","172.","cm","ln(BAT) = -4.506747 + 0.595798 * ln(DBA) + 0.794134 * ln(LEN) + 1.009666 * ln(WID)","50","0.958","0.24155","0.49184","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8251",FALSE
1031,"S","QUKE","Quercus kelloggii (california black oak)","BAT","S","O","07","T","LEN","Length of projected crown","3.","198.","cm","WID","Width of projected crown","3.","172.","cm",NA,NA,NA,NA,NA,"Biomass, aboveground, total","0.3","1640.","g","-5.029475","1.011551","1.304530",NA,"ln(BAT) =-5.029475 + 1.011551 * ln(LEN) + 1.304530 * ln(WID)",17,"Biomass, aboveground, total","0.3","1640.","g","Length of projected crown","3.","198.","cm","Width of projected crown (perpendicular to LEN)","3.","172.","cm",NA,NA,NA,NA,"ln(BAT) = -5.029475 + 1.011551 * ln(LEN) + 1.304530 * ln(WID)","50","0.940","0.34205","0.58485","N","J.B.Kauffman, Range Resources, Oregon State University and Joe Means, PNW USDA FS, Corvallis, OR.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8261",FALSE
1032,"S","ALSI","Alnus sinuata (mountain alder)","BFT","R","G","03","S","BIO","Total aboveground biomass","15.6","1244.","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass","3.93","122.0","g","-7.929876","0.248889","-0.000151",NA,"BFT = -7.929876 + 0.248889 * BIO - 0.000151 * BIO^2",32,"Total foliage biomass","3.93","122.0","g","Total aboveground biomass","15.6","1244.","g",NA,NA,NA,NA,NA,NA,NA,NA,"BFT = -7.929876 + 0.248889 * BIO - 0.000151 * BIO^2","30","0.805","229.4","15.147",NA,"Brown, J.K. Intermountain Fire Sciences Laboratory, USDA FS, Missoula, MT.","Equation developed by Krankina, O.N. based on data from the above mentioned source.","8271",FALSE
1033,"S","AMAL","Amelanchier alnifolia (serviceberry)","BFT","R","G","02","S","BIO","Total aboveground biomass","2.64","904.9","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass","0.69","79.78","g","-1.148965","0.793042",NA,NA,"ln(BFT) = -1.148965 + 0.793042 * ln(BIO)",2,"Total foliage biomass","0.69","79.78","g","Total aboveground biomass","2.64","904.9","g",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -1.148965 + 0.793042 * ln(BIO)","37","0.885","0.2165","0.4653","N","Brown, J.K. Intermountain Fire Sciences Laboratory, USDA FS, Missoula, MT.","Equation developed by Krankina, O.N. based on data from the above mentioned source.","8273",FALSE
1034,"S","ARTR","Artemisia tridentata (big sagebrush)","BFT","R","G","02","S","BIO","Total aboveground biomass","13.85","1532.","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass","1.31","273.3","g","-1.498408","0.955207",NA,NA,"ln(BFT) = -1.498408 + 0.955207 * ln(BIO)",2,"Total foliage biomass","1.31","273.3","g","Total aboveground biomass","13.85","1532.","g",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -1.498408 + 0.955207 * ln(BIO)","20","0.891","0.2198","0.46887","N","Brown, J.K. Intermountain Fire Sciences Laboratory, USDA FS, Missoula, MT.","Equation developed by O.N.Krankina based on data from the above mentioned source.","8275",FALSE
1035,"S","BERE","Berberis repens Oregon grape","BFT","R","G","02","S","BIO","Total aboveground biomass","1.10","14.08","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass","0.67","7.96","g","0.385928","0.524056",NA,NA,"BFT = 0.385928 + 0.524056 * BIO",1,"Total foliage biomass","0.67","7.96","g","Total aboveground biomass","1.10","14.08","g",NA,NA,NA,NA,NA,NA,NA,NA,"BFT = 0.385928 + 0.524056 * BIO","36","0.877","0.3371","0.5806",NA,"Brown, J.K. Intermountain Fire Sciences Laboratory, USDA FS, Missoula, MT.","Equation developed by Krankina, O.N. based on data from the above mentioned source.","8277",FALSE
1036,"S","CEVE","Ceanothus velutinus (evergreen ceanothus","BFT","R","G","02","S","BIO","Total aboveground biomass","8.04","565.0","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass","0.91","92.04","g","-2.853983","2.078297","-0.147273",NA,"ln(BFT) = -2.853983 + 2.078297 * ln(BIO) - 0.147273 * (ln(BIO))^2",45,"Total foliage biomass","0.91","92.04","g","Total aboveground biomass","8.04","565.0","g",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -2.853983 + 2.078297 * ln(BIO) - 0.147273 * (ln(BIO))^2","30","0.851","0.1553","0.3941","N","Brown, J.K. Intermountain Fire Sciences Laboratory, USDA FS, Missoula, MT.","Equation developed by Krankina O.N. based on data from the above mentioned source.","8279",FALSE
1037,"S","COST","Cornus stolonifera (redosier dogwood)","BFT","R","G","03","S","BIO","Total aboveground biomass","21.93","683.7","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass","4.12","133.9","g","0.898923","0.183050",NA,NA,"BFT = 0.898923 + 0.183050 * BIO",1,"Total foliage biomass","4.12","133.9","g","Total aboveground biomass","21.93","683.7","g",NA,NA,NA,NA,NA,NA,NA,NA,"BFT = 0.898923 + 0.183050 * BIO","31","0.851","142.8","11.95",NA,"Brown, J.K. Intermountain Fire Sciences Laboratory, Missoula, MT.","Equation developed by Krankina O.N. based on data from the above mentioned source.","8281",FALSE
1038,"S","HODI","Holodiscus discolor (oceanspray)","BFT","R","G","02","S","BIO","Total aboveground biomass","11.53","502.0","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass","1.56","133.9","g","-1.070393","0.857691",NA,NA,"ln(BFT) = -1.070393 + 0.857691 * ln(BIO)",2,"Total foliage biomass","1.56","133.9","g","Total aboveground biomass","11.53","502.0","g",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -1.070393 + 0.857691 * ln(BIO)","31","0.900","0.08068","0.28405","N","Brown, J.K. Intermountain Fire Sciences Laboratory, USDA SF, Missoula MT.","Equation developed by Krankina, O.N. based on data from the above mentioned source.","8283",FALSE
1039,"S","JUCO","Juniperus communis (common juniper)","BFT","R","G","02","S","BIO","Total aboveground biomass","37.37","629.9","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass","20.9","232.4","g","9.796400","0.34090",NA,NA,"BFT = 9.796400 + 0.34090 * BIO",1,"Total foliage biomass","20.2","232.4","g","Total aboveground biomass","37.37","629.9","g",NA,NA,NA,NA,NA,NA,NA,NA,"BFT = 9.7964 + 0.3409 * BIO","23","0.950","137.13","11.71",NA,"Brown, J.K. Intermountain Fire Science Laboratory, USDA FS, Missoula, MT.","Equation developed by Krankina, O.N. based on data from the above mentioned source.","8285",FALSE
1040,"S","LOUT","Lonicera utahensis (Utah honeysucle)","BFT","R","G","02","S","BIO","Total aboveground biomass","1.12","255.9","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass","0.25","33.39","g","-1.144878","0.849052",NA,NA,"ln(BFT) = -1.144878 + 0.849052 * ln(BIO)",2,"Total foliage biomass","0.25","33.39","g","Total aboveground biomass","1.12","255.9","g",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -1.144878 + 0.849052 * ln(BIO)","32","0.898","0.1926","0.43885","N","Brown, J.K. Intermountain Fire Sciences Laboratory, USDA FS, Missoula, MT. Idaho and western Montana)","Equation developed by Krankina, O.N. based on data from the above mentioned source.","8287",FALSE
1041,"S","MEFE","Menziensia ferruginea (smooth menziensia","BFT","R","G","02","S","BIO","Total aboveground biomass","0.63","220.9","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass","0.08","14.46","g","-1.503945","0.704884",NA,NA,"ln(BFT) = -1.503945 + 0.704884* ln(BIO)",2,"Total foliage biomass","0.08","14.46","g","Total aboveground biomass","0.08","220.9","g",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -1.503945 + 0.704884 * ln(BIO)","37","0.817","0.3324","0.57654","N","Brown, J.K. Intermountain Fire Sciences Laboratory, USDA FS, Missoula, MT.","Equation developed by Krankina, O.N. based on data from the above mentioned source.","8289",FALSE
1042,"S","PHLE2","Philadelphus lewisii (mockorange)","BFT","R","G","02","S","BIO","Total aboveground biomass","1.94","501.7","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass","0.28","55.84","g","1.996879","0.150529","-0.00009",NA,"BFT = 1.996879 + 0.150529 * BIO - 0.00009 * BIO^2",32,"Total foliage biomass","0.28","55.84","g","Total aboveground biomass","1.94","501.7","g",NA,NA,NA,NA,NA,NA,NA,NA,"BFT = 1.996879 + 0.150529 * BIO - 0.00009 * BIO^2","28","0.888","16.912","4.1124",NA,"Brown, J.K. Intermountain Fire Sciences Laboratory, USDA FS, Missoula, MT.","Equation developed by Krankina, O.N. based on data from the above mentioned source.","8291",FALSE
